Name,MOID(AU)
431P/Scotti,1.4943262385652085
P/2020 U2 (PANSTARRS),1.4969148652022206
130P/McNaught-Hughes,1.497563420848944
P/2019 S3 (PANSTARRS),1.4999034879843403
63P/Wild,1.5033265214968436
92P/Sanguin,1.504893902539165
C/2021 U4 (Leonard),1.507616524938197
C/2021 A7 (NEOWISE),1.5094853236439154
P/2013 N5 (PANSTARRS),1.5115194659305682
P/2014 L3 (Hill),1.5160704093564548
439P/LINEAR,1.5285852837223937
449P/Leonard,1.5303621133978529
236P/LINEAR,1.5314915291375721
P/2019 U4 (PANSTARRS),1.53226332927833
P/2018 L1 (PANSTARRS),1.5357021552301073
360P/WISE,1.5445835386330566
C/2020 Y3 (ATLAS),1.5480854477186956
277P/LINEAR,1.549965968781131
P/2018 H2 (PANSTARRS),1.5507449122423675
392P/LINEAR,1.5542106064555032
P/2007 Q2 (Gilmore),1.5569000370134431
P/2021 U3 (Attard-Maury),1.5590147636094702
178P/Hug-Bell,1.5601002945688307
307P/LINEAR,1.5668119640755052
P/2019 A6 (Lemmon-PANSTARRS),1.5668748358297546
16P/Brooks,1.5669461211190097
P/2015 Q2 (Pimentel),1.5692921428755382
328P/LONEOS-Tucker,1.569387041120579
145P/Shoemaker-Levy,1.5701401255259004
100P/Hartley,1.5713332106218765
P/2014 U4 (PANSTARRS),1.571958061356326
311P/PANSTARRS,1.5788710872415304
70P/Kojima,1.5819877674166547
A/2019 N2,1.586154745619153
241P/LINEAR,1.5985712569391586
440P/Kobayashi,1.5988045835118578
P/2013 AL76 (Catalina),1.5988313915985763
369P/Hill,1.603399454260103
237P/LINEAR,1.6059910747610626
354P/LINEAR,1.6089287988781862
50P/Arend,1.6096079824627376
235P/LINEAR,1.6123848540538075
C/2022 V2 (Lemmon),1.6137260027673082
137P/Shoemaker-Levy,1.6183874198750898
32P/ComasSola,1.622184328116146
P/2021 L2 (Leonard),1.6261638027040346
105P/Singer Brewster,1.6284520266048905
C/2023 K1 (ATLAS),1.6303987653272625
P/2022 P2 (ZTF),1.6320276957213258
198P/ODAS,1.6445175274429138
C/2020 T2 (Palomar),1.6490153573349573
P/2022 R4 (PANSTARRS),1.6492680269042126
388P/Gibbs,1.6524558266234617
213P/Van Ness,1.6538855768783636
213P-B/Van Ness,1.65806907152375
213P-C/Van Ness,1.6582124417199902
278P/McNaught,1.659231073919702
283P/Spacewatch,1.6676593840158258
C/2018 X2 (Fitzsimmons),1.6708447670637478
